player_id	daily_recharge	platform_profit	loss_percentage_raw	loss_percentage_after_bonus	offer_tier
38982076	17700.00	25498.90	144.06	124.48	3500+ (35% cashback)
20560978	15000.00	20602.50	137.35	117.77	3500+ (35% cashback)
23458547	9700.00	10646.41	109.76	90.18	3500+ (35% cashback)
61378061	9500.00	96345.00	1014.16	994.58	3500+ (35% cashback)
91924938	6000.00	6588.60	109.81	90.23	3500+ (35% cashback)
48421795	5000.00	5575.00	111.50	91.92	3500+ (35% cashback)
90206597	5000.00	5759.84	115.20	95.62	3500+ (35% cashback)
92562055	5000.00	10188.68	203.77	184.19	3500+ (35% cashback)
17562050	4600.00	6630.81	144.15	124.57	3500+ (35% cashback)
37261092	4500.00	5142.74	114.28	94.70	3500+ (35% cashback)
55227939	4000.00	4474.10	111.85	92.27	3500+ (35% cashback)
72628381	3600.00	4033.52	112.04	92.46	3500+ (35% cashback)
80961852	3500.00	4057.32	115.92	96.34	3500+ (35% cashback)
19085249	3000.00	3918.10	130.60	111.02	2000-3499 (30% cashback)
36610672	3000.00	3471.80	115.73	96.15	2000-3499 (30% cashback)
64831880	3000.00	4471.44	149.05	129.47	2000-3499 (30% cashback)
78986200	3000.00	5849.75	194.99	175.41	2000-3499 (30% cashback)
26217205	2880.00	4925.70	171.03	151.45	2000-3499 (30% cashback)
11287442	2800.00	3091.00	110.39	90.81	2000-3499 (30% cashback)
25892122	2800.00	6777.28	242.05	222.47	2000-3499 (30% cashback)
20261942	2500.00	2805.31	112.21	92.63	2000-3499 (30% cashback)
29755667	2500.00	2799.70	111.99	92.41	2000-3499 (30% cashback)
54813213	2500.00	2821.48	112.86	93.28	2000-3499 (30% cashback)
64921335	2500.00	2970.20	118.81	99.23	2000-3499 (30% cashback)
74431738	2500.00	2809.00	112.36	92.78	2000-3499 (30% cashback)
89096438	2500.00	2826.55	113.06	93.48	2000-3499 (30% cashback)
96667114	2500.00	2946.20	117.85	98.27	2000-3499 (30% cashback)
95751210	2400.00	2895.00	120.63	101.05	2000-3499 (30% cashback)
98787041	2100.00	2369.25	112.82	93.24	2000-3499 (30% cashback)
18733324	2000.00	3102.84	155.14	135.56	2000-3499 (30% cashback)
