player_id	daily_recharge	platform_profit	loss_percentage	offer_tier
38982076	17700.00	25498.90	144.06	3500+ (35% cashback)
19093362	16000.00	17155.32	107.22	3500+ (35% cashback)
77968901	15200.00	15440.75	101.58	3500+ (35% cashback)
20560978	15000.00	20602.50	137.35	3500+ (35% cashback)
30256773	14000.00	14453.50	103.24	3500+ (35% cashback)
55117576	10100.00	9440.62	93.47	3500+ (35% cashback)
16826511	10000.00	10420.00	104.20	3500+ (35% cashback)
50926343	10000.00	10571.50	105.72	3500+ (35% cashback)
54673116	10000.00	10453.60	104.54	3500+ (35% cashback)
69699237	10000.00	10459.16	104.59	3500+ (35% cashback)
23458547	9700.00	10646.41	109.76	3500+ (35% cashback)
61378061	9500.00	96345.00	1014.16	3500+ (35% cashback)
51141724	9000.00	9458.65	105.10	3500+ (35% cashback)
77188642	8500.00	7804.55	91.82	3500+ (35% cashback)
62947451	8000.00	8335.52	104.19	3500+ (35% cashback)
25340304	7605.00	6900.21	90.73	3500+ (35% cashback)
91634078	7500.00	8130.40	108.41	3500+ (35% cashback)
25720009	7000.00	7662.90	109.47	3500+ (35% cashback)
49352142	7000.00	7478.20	106.83	3500+ (35% cashback)
78066154	7000.00	7292.31	104.18	3500+ (35% cashback)
79472199	7000.00	6478.60	92.55	3500+ (35% cashback)
68151100	6500.00	6777.00	104.26	3500+ (35% cashback)
73110893	6500.00	6824.00	104.98	3500+ (35% cashback)
89540351	6500.00	7067.00	108.72	3500+ (35% cashback)
91924938	6000.00	6588.60	109.81	3500+ (35% cashback)
17934905	5600.00	5296.40	94.58	3500+ (35% cashback)
23852475	5000.00	5243.64	104.87	3500+ (35% cashback)
28435905	5000.00	5315.00	106.30	3500+ (35% cashback)
48421795	5000.00	5575.00	111.50	3500+ (35% cashback)
69069607	5000.00	5336.20	106.72	3500+ (35% cashback)
77015512	5000.00	5170.00	103.40	3500+ (35% cashback)
90206597	5000.00	5759.84	115.20	3500+ (35% cashback)
92562055	5000.00	10188.68	203.77	3500+ (35% cashback)
17562050	4600.00	6630.81	144.15	3500+ (35% cashback)
37261092	4500.00	5142.74	114.28	3500+ (35% cashback)
52239781	4400.00	4513.61	102.58	3500+ (35% cashback)
36316053	4100.00	4409.40	107.55	3500+ (35% cashback)
12022080	4000.00	4313.92	107.85	3500+ (35% cashback)
14638586	4000.00	3886.37	97.16	3500+ (35% cashback)
21150637	4000.00	4255.00	106.38	3500+ (35% cashback)
55227939	4000.00	4474.10	111.85	3500+ (35% cashback)
55475410	4000.00	4253.70	106.34	3500+ (35% cashback)
57733169	4000.00	4158.95	103.97	3500+ (35% cashback)
74362047	4000.00	4205.00	105.13	3500+ (35% cashback)
81801350	4000.00	4172.04	104.30	3500+ (35% cashback)
11946768	3950.00	4160.00	105.32	3500+ (35% cashback)
21235213	3800.00	3930.10	103.42	3500+ (35% cashback)
36647601	3600.00	3896.67	108.24	3500+ (35% cashback)
72628381	3600.00	4033.52	112.04	3500+ (35% cashback)
80961852	3500.00	4057.32	115.92	3500+ (35% cashback)
58670358	3400.00	3519.30	103.51	2000-3499 (30% cashback)
14184231	3300.00	3420.00	103.64	2000-3499 (30% cashback)
17356807	3000.00	3258.38	108.61	2000-3499 (30% cashback)
19022170	3000.00	3099.00	103.30	2000-3499 (30% cashback)
19085249	3000.00	3918.10	130.60	2000-3499 (30% cashback)
19149123	3000.00	3115.00	103.83	2000-3499 (30% cashback)
35073752	3000.00	3157.68	105.26	2000-3499 (30% cashback)
36045213	3000.00	3161.54	105.38	2000-3499 (30% cashback)
36610672	3000.00	3471.80	115.73	2000-3499 (30% cashback)
49545598	3000.00	3228.50	107.62	2000-3499 (30% cashback)
64021306	3000.00	3114.40	103.81	2000-3499 (30% cashback)
64831880	3000.00	4471.44	149.05	2000-3499 (30% cashback)
66155896	3000.00	3230.00	107.67	2000-3499 (30% cashback)
66885063	3000.00	3005.75	100.19	2000-3499 (30% cashback)
73803793	3000.00	3245.00	108.17	2000-3499 (30% cashback)
74297556	3000.00	3158.28	105.28	2000-3499 (30% cashback)
75667627	3000.00	3185.00	106.17	2000-3499 (30% cashback)
78986200	3000.00	5849.75	194.99	2000-3499 (30% cashback)
92715471	3000.00	3152.00	105.07	2000-3499 (30% cashback)
93521647	3000.00	3185.00	106.17	2000-3499 (30% cashback)
96008130	3000.00	3129.83	104.33	2000-3499 (30% cashback)
47781537	2890.00	2981.61	103.17	2000-3499 (30% cashback)
26217205	2880.00	4925.70	171.03	2000-3499 (30% cashback)
11287442	2800.00	3091.00	110.39	2000-3499 (30% cashback)
25892122	2800.00	6777.28	242.05	2000-3499 (30% cashback)
54799973	2800.00	2998.33	107.08	2000-3499 (30% cashback)
19886298	2700.00	2789.50	103.31	2000-3499 (30% cashback)
13396235	2500.00	2706.60	108.26	2000-3499 (30% cashback)
19162878	2500.00	2713.20	108.53	2000-3499 (30% cashback)
20261942	2500.00	2805.31	112.21	2000-3499 (30% cashback)
26069079	2500.00	2620.67	104.83	2000-3499 (30% cashback)
29755667	2500.00	2799.70	111.99	2000-3499 (30% cashback)
54813213	2500.00	2821.48	112.86	2000-3499 (30% cashback)
62655086	2500.00	2663.00	106.52	2000-3499 (30% cashback)
64921335	2500.00	2970.20	118.81	2000-3499 (30% cashback)
74431738	2500.00	2809.00	112.36	2000-3499 (30% cashback)
89096438	2500.00	2826.55	113.06	2000-3499 (30% cashback)
96667114	2500.00	2946.20	117.85	2000-3499 (30% cashback)
26299853	2400.00	2496.80	104.03	2000-3499 (30% cashback)
34885734	2400.00	2594.70	108.11	2000-3499 (30% cashback)
95751210	2400.00	2895.00	120.63	2000-3499 (30% cashback)
35924698	2300.00	2384.20	103.66	2000-3499 (30% cashback)
42854996	2300.00	2486.90	108.13	2000-3499 (30% cashback)
15111769	2200.00	2320.30	105.47	2000-3499 (30% cashback)
51921041	2200.00	2364.00	107.45	2000-3499 (30% cashback)
61992884	2150.00	2225.02	103.49	2000-3499 (30% cashback)
98787041	2100.00	2369.25	112.82	2000-3499 (30% cashback)
15530843	2000.00	2066.50	103.33	2000-3499 (30% cashback)
18733324	2000.00	3102.84	155.14	2000-3499 (30% cashback)
19780459	2000.00	2130.15	106.51	2000-3499 (30% cashback)
21570861	2000.00	2029.40	101.47	2000-3499 (30% cashback)
21855084	2000.00	3091.00	154.55	2000-3499 (30% cashback)
30309494	2000.00	2102.10	105.11	2000-3499 (30% cashback)
31251870	2000.00	2067.90	103.40	2000-3499 (30% cashback)
33583545	2000.00	3514.13	175.71	2000-3499 (30% cashback)
37341732	2000.00	2169.25	108.46	2000-3499 (30% cashback)
39455978	2000.00	2427.50	121.38	2000-3499 (30% cashback)
39583820	2000.00	2147.00	107.35	2000-3499 (30% cashback)
43505349	2000.00	2183.90	109.20	2000-3499 (30% cashback)
51443404	2000.00	2088.00	104.40	2000-3499 (30% cashback)
51659677	2000.00	2093.32	104.67	2000-3499 (30% cashback)
53877785	2000.00	2090.10	104.51	2000-3499 (30% cashback)
54660270	2000.00	2570.39	128.52	2000-3499 (30% cashback)
55732605	2000.00	2154.94	107.75	2000-3499 (30% cashback)
60213518	2000.00	2175.00	108.75	2000-3499 (30% cashback)
60720055	2000.00	2354.04	117.70	2000-3499 (30% cashback)
62058677	2000.00	2194.81	109.74	2000-3499 (30% cashback)
62115330	2000.00	2098.41	104.92	2000-3499 (30% cashback)
62442080	2000.00	2294.65	114.73	2000-3499 (30% cashback)
67393222	2000.00	2351.18	117.56	2000-3499 (30% cashback)
67580868	2000.00	2161.00	108.05	2000-3499 (30% cashback)
69276815	2000.00	2259.40	112.97	2000-3499 (30% cashback)
69836939	2000.00	2067.75	103.39	2000-3499 (30% cashback)
72232572	2000.00	2200.02	110.00	2000-3499 (30% cashback)
72643565	2000.00	2442.00	122.10	2000-3499 (30% cashback)
75754337	2000.00	2149.00	107.45	2000-3499 (30% cashback)
81346629	2000.00	2086.00	104.30	2000-3499 (30% cashback)
81614059	2000.00	2359.98	118.00	2000-3499 (30% cashback)
83051112	2000.00	1863.50	93.18	2000-3499 (30% cashback)
83974946	2000.00	2098.00	104.90	2000-3499 (30% cashback)
87618242	2000.00	2207.20	110.36	2000-3499 (30% cashback)
89824016	2000.00	2430.00	121.50	2000-3499 (30% cashback)
90667029	2000.00	2210.63	110.53	2000-3499 (30% cashback)
91475035	2000.00	3058.80	152.94	2000-3499 (30% cashback)
99452259	2000.00	2619.92	131.00	2000-3499 (30% cashback)
88450788	1980.00	2165.10	109.35	500-1999 (25% cashback)
12262327	1950.00	2130.56	109.26	500-1999 (25% cashback)
44431265	1900.00	2095.00	110.26	500-1999 (25% cashback)
63492823	1900.00	2053.32	108.07	500-1999 (25% cashback)
76894013	1900.00	2070.00	108.95	500-1999 (25% cashback)
58410686	1871.00	1978.05	105.72	500-1999 (25% cashback)
15821424	1850.00	2039.40	110.24	500-1999 (25% cashback)
11347233	1800.00	1924.64	106.92	500-1999 (25% cashback)
14981363	1800.00	1916.80	106.49	500-1999 (25% cashback)
22005130	1800.00	1736.40	96.47	500-1999 (25% cashback)
30359848	1800.00	1836.20	102.01	500-1999 (25% cashback)
39014156	1800.00	1901.20	105.62	500-1999 (25% cashback)
47015641	1800.00	1985.36	110.30	500-1999 (25% cashback)
62214117	1800.00	1930.45	107.25	500-1999 (25% cashback)
86403795	1800.00	2296.58	127.59	500-1999 (25% cashback)
94119380	1800.00	2072.30	115.13	500-1999 (25% cashback)
13518141	1700.00	2085.06	122.65	500-1999 (25% cashback)
48717676	1700.00	1766.68	103.92	500-1999 (25% cashback)
63952913	1700.00	1776.88	104.52	500-1999 (25% cashback)
88564257	1700.00	1814.48	106.73	500-1999 (25% cashback)
16040927	1600.00	1867.60	116.73	500-1999 (25% cashback)
20544460	1600.00	1750.00	109.38	500-1999 (25% cashback)
21158987	1600.00	1687.68	105.48	500-1999 (25% cashback)
40370742	1600.00	1866.60	116.66	500-1999 (25% cashback)
47309918	1600.00	1684.20	105.26	500-1999 (25% cashback)
79038824	1600.00	1656.90	103.56	500-1999 (25% cashback)
12869280	1505.00	1582.42	105.14	500-1999 (25% cashback)
11174787	1500.00	2230.00	148.67	500-1999 (25% cashback)
13466931	1500.00	1982.26	132.15	500-1999 (25% cashback)
17401294	1500.00	1672.00	111.47	500-1999 (25% cashback)
17775778	1500.00	1671.60	111.44	500-1999 (25% cashback)
