player_id	first_deposit_amount	day_profit	profit_status	amount_tier
30277848	5200.00	0.00	虧損	1000+
11823616	5000.00	6874.30	盈利	1000+
34565926	5000.00	5765.54	盈利	1000+
56263189	5000.00	2126.40	盈利	1000+
73448593	5000.00	1541.60	盈利	1000+
94511619	5000.00	331.53	盈利	1000+
92562055	5000.00	10188.68	盈利	1000+
78348433	5000.00	-1391.20	虧損	1000+
12282549	5000.00	173.71	盈利	1000+
73110893	3500.00	6824.00	盈利	1000+
33215444	3000.00	-645.88	虧損	1000+
96015544	3000.00	-1255.96	虧損	1000+
29743233	3000.00	-2603.24	虧損	1000+
61805266	3000.00	-954.06	虧損	1000+
23484382	3000.00	-2295.64	虧損	1000+
66647498	3000.00	3822.32	盈利	1000+
93521647	3000.00	3185.00	盈利	1000+
63460346	3000.00	3488.92	盈利	1000+
73110893	3000.00	6824.00	盈利	1000+
65574105	3000.00	-2554.57	虧損	1000+
55381530	2000.00	3353.12	盈利	1000+
86439792	2000.00	2551.00	盈利	1000+
74431738	2000.00	2809.00	盈利	1000+
26920217	2000.00	287.60	盈利	1000+
96225492	2000.00	4325.41	盈利	1000+
96225492	2000.00	4325.41	盈利	1000+
29353328	2000.00	2262.56	盈利	1000+
29743233	1700.00	-2603.24	虧損	1000+
94781184	1532.00	-215.58	虧損	1000+
29755667	1500.00	2799.70	盈利	1000+
43190419	1500.00	1678.31	盈利	1000+
59276063	1460.00	-394.28	虧損	1000+
87291805	1020.00	-1415.70	虧損	1000+
29743233	1003.00	-2603.24	虧損	1000+
72071318	1000.00	1115.25	盈利	1000+
99884647	1000.00	-708.12	虧損	1000+
41057863	1000.00	1180.00	盈利	1000+
95115956	1000.00	1249.40	盈利	1000+
91914615	1000.00	1119.60	盈利	1000+
30299475	1000.00	1244.16	盈利	1000+
42037675	1000.00	1823.10	盈利	1000+
46410174	1000.00	1805.54	盈利	1000+
50153074	1000.00	242.26	盈利	1000+
48112321	1000.00	992.00	盈利	1000+
29562041	1000.00	1276.00	盈利	1000+
97488278	1000.00	-766.56	虧損	1000+
17123532	1000.00	322.60	盈利	1000+
89169496	1000.00	1260.43	盈利	1000+
55381530	1000.00	3353.12	盈利	1000+
80819063	1000.00	68.00	盈利	1000+
40965982	1000.00	629.24	盈利	1000+
21993102	1000.00	1237.55	盈利	1000+
61531764	1000.00	1171.66	盈利	1000+
44024615	1000.00	1171.50	盈利	1000+
41386562	1000.00	1240.40	盈利	1000+
32618292	1000.00	1185.55	盈利	1000+
31544572	1000.00	-62.98	虧損	1000+
15565896	1000.00	177.22	盈利	1000+
69903883	1000.00	1787.00	盈利	1000+
60254274	1000.00	165.68	盈利	1000+
89615347	1000.00	1257.22	盈利	1000+
48163748	1000.00	-33.06	虧損	1000+
41189430	1000.00	1172.00	盈利	1000+
26501102	1000.00	1273.08	盈利	1000+
41785335	1000.00	1221.80	盈利	1000+
43035787	1000.00	56.56	盈利	1000+
37235173	1000.00	-325.70	虧損	1000+
23942452	1000.00	1171.70	盈利	1000+
68100069	1000.00	1796.10	盈利	1000+
62857409	1000.00	1172.00	盈利	1000+
21695301	1000.00	1169.86	盈利	1000+
43035787	1000.00	56.56	盈利	1000+
93211195	1000.00	718.24	盈利	1000+
26628570	1000.00	-86.35	虧損	1000+
65364466	1000.00	1198.40	盈利	1000+
16396837	1000.00	368.20	盈利	1000+
61029153	1000.00	1339.12	盈利	1000+
43297139	1000.00	-8.56	虧損	1000+
29855668	1000.00	1190.76	盈利	1000+
23578915	1000.00	1172.70	盈利	1000+
11871035	1000.00	48.68	盈利	1000+
56335605	1000.00	1172.10	盈利	1000+
48339315	1000.00	2473.20	盈利	1000+
48339315	1000.00	2473.20	盈利	1000+
76894013	1000.00	2070.00	盈利	1000+
19461673	1000.00	1306.70	盈利	1000+
70355635	1000.00	-1175.80	虧損	1000+
42514348	1000.00	1249.93	盈利	1000+
71781391	1000.00	1188.00	盈利	1000+
92194125	1000.00	-442.86	虧損	1000+
26628570	1000.00	-86.35	虧損	1000+
26674496	1000.00	-1742.50	虧損	1000+
43456822	1000.00	1189.30	盈利	1000+
31733399	1000.00	-389.80	虧損	1000+
67801670	1000.00	-2783.80	虧損	1000+
75287454	1000.00	-5621.10	虧損	1000+
33264963	1000.00	100.00	盈利	1000+
16837265	1000.00	1172.80	盈利	1000+
29755667	1000.00	2799.70	盈利	1000+
35359688	1000.00	1158.00	盈利	1000+
85999938	1000.00	70.90	盈利	1000+
41923335	1000.00	1904.12	盈利	1000+
15436444	1000.00	-875.40	虧損	1000+
50946997	1000.00	-743.62	虧損	1000+
52103967	1000.00	1165.20	盈利	1000+
29270493	1000.00	1197.32	盈利	1000+
83582772	1000.00	1171.12	盈利	1000+
56101499	1000.00	1188.84	盈利	1000+
55870809	1000.00	1190.28	盈利	1000+
40370742	1000.00	1866.60	盈利	1000+
32272416	1000.00	1170.00	盈利	1000+
69903883	1000.00	1787.00	盈利	1000+
21976349	1000.00	1171.55	盈利	1000+
32999687	1000.00	1188.00	盈利	1000+
12387123	1000.00	1323.60	盈利	1000+
68564448	1000.00	228.35	盈利	1000+
38117793	1000.00	531.00	盈利	1000+
76894013	900.00	2070.00	盈利	500-999
29376334	900.00	-3826.21	虧損	500-999
92248321	702.00	78.00	盈利	500-999
10061169	701.00	358.00	盈利	500-999
52469807	700.00	2205.41	盈利	500-999
16614287	700.00	915.88	盈利	500-999
15222136	700.00	398.64	盈利	500-999
29376334	700.00	-3826.21	虧損	500-999
43837161	564.00	-2141.19	虧損	500-999
60545352	514.00	-838.76	虧損	500-999
12191994	510.00	667.40	盈利	500-999
54156460	510.00	386.07	盈利	500-999
