player_id	fail_count	max_fail_amount	min_fail_amount
73620378	2	400.00	300.00
59710617	3	301.00	251.00
10336814	2	300.00	300.00
11030304	81	300.00	100.00
11224525	2	300.00	100.00
11281333	2	300.00	300.00
11950994	3	300.00	300.00
12462863	2	300.00	300.00
12662877	5	300.00	100.00
17158385	3	300.00	300.00
17187009	5	300.00	100.00
17498980	4	300.00	300.00
17862698	2	300.00	300.00
19807374	2	300.00	300.00
23991500	2	300.00	100.00
24485120	7	300.00	100.00
25321341	2	300.00	300.00
26826412	2	300.00	300.00
26941509	2	300.00	300.00
27569858	3	300.00	100.00
30140589	2	300.00	300.00
30277890	2	300.00	300.00
30447655	3	300.00	300.00
33338131	2	300.00	300.00
35532164	2	300.00	300.00
36541197	2	300.00	300.00
36551543	2	300.00	300.00
38636342	2	300.00	300.00
40600787	2	300.00	300.00
45211598	22	300.00	200.00
46698521	2	300.00	100.00
52818900	2	300.00	300.00
53456717	4	300.00	200.00
54280125	3	300.00	300.00
54645534	2	300.00	300.00
55839745	2	300.00	300.00
56221123	3	300.00	200.00
57126008	2	300.00	300.00
60282590	2	300.00	300.00
61586327	2	300.00	300.00
67294212	3	300.00	200.00
68992460	7	300.00	100.00
69244895	2	300.00	100.00
71399327	20	300.00	100.00
74610341	2	300.00	300.00
75307689	4	300.00	100.00
75542347	2	300.00	300.00
75612960	2	300.00	300.00
79895231	2	300.00	300.00
79907514	2	300.00	100.00
86126062	2	300.00	300.00
86703932	8	300.00	100.00
86937496	2	300.00	300.00
87619651	2	300.00	300.00
87669582	4	300.00	100.00
87967709	2	300.00	300.00
88499182	2	300.00	200.00
88744436	3	300.00	300.00
91181244	3	300.00	300.00
93808659	19	300.00	100.00
94285779	5	300.00	200.00
95062937	3	300.00	300.00
95474935	3	300.00	300.00
99937158	3	300.00	300.00
55811344	2	220.00	200.00
65369232	4	201.00	201.00
10730429	3	200.00	200.00
12268761	2	200.00	200.00
13988415	2	200.00	200.00
17993638	4	200.00	100.00
19513691	2	200.00	200.00
19639552	2	200.00	200.00
21343845	3	200.00	200.00
22681486	2	200.00	200.00
25254200	4	200.00	100.00
25890272	4	200.00	200.00
26460348	2	200.00	200.00
26471979	6	200.00	100.00
30354861	3	200.00	200.00
31243103	2	200.00	100.00
32139920	2	200.00	200.00
34326966	3	200.00	100.00
