player_id	fail_count	max_fail_amount	amount_tier
24	2	1000.00	1000+
10017381	3	100.00	0-499
10336814	2	300.00	0-499
10496561	3	100.00	0-499
10730429	3	200.00	0-499
10839200	3	500.00	500-999
10935827	2	500.00	500-999
11030304	269	50000.00	1000+
11224525	2	300.00	0-499
11281333	2	300.00	0-499
11387000	2	100.00	0-499
11396538	8	1000.00	1000+
11950994	3	300.00	0-499
11991563	2	100.00	0-499
11995639	7	500.00	500-999
12268761	2	200.00	0-499
12462863	2	300.00	0-499
12662877	6	1000.00	1000+
12868695	10	100.00	0-499
13084413	2	1000.00	1000+
13219208	2	100.00	0-499
13780245	2	100.00	0-499
13988415	2	200.00	0-499
14318429	2	1000.00	1000+
14943465	9	2250.00	1000+
15581081	2	2500.00	1000+
15871454	2	3000.00	1000+
15884873	2	1000.00	1000+
16726341	3	100.00	0-499
16832156	2	500.00	500-999
17158385	3	300.00	0-499
17187009	5	300.00	0-499
17211423	2	1000.00	1000+
17498980	4	300.00	0-499
17738909	4	500.00	500-999
17862698	2	300.00	0-499
17993638	4	200.00	0-499
18102560	2	3000.00	1000+
18625176	4	100.00	0-499
18794894	4	100.00	0-499
18878730	5	1500.00	1000+
18988887	10	100.00	0-499
18997060	2	100.00	0-499
19087029	3	100.00	0-499
19513691	2	200.00	0-499
19635883	5	100.00	0-499
19639552	2	200.00	0-499
19807374	2	300.00	0-499
19811735	4	100.00	0-499
20200251	4	102.00	0-499
20305278	6	2000.00	1000+
21001929	2	1000.00	1000+
21068063	4	800.00	500-999
21343845	3	200.00	0-499
21376216	2	3000.00	1000+
21491152	2	1109.00	1000+
21843679	3	100.00	0-499
22456356	4	2100.00	1000+
22681486	2	200.00	0-499
22915945	2	2000.00	1000+
23506318	2	100.00	0-499
23627919	3	100.00	0-499
23991500	11	500.00	500-999
23995498	2	1000.00	1000+
24394437	3	2000.00	1000+
24485120	7	300.00	0-499
24696061	2	500.00	500-999
25254200	4	200.00	0-499
25321341	2	300.00	0-499
25740590	12	100.00	0-499
25754574	3	100.00	0-499
25890272	4	200.00	0-499
25978242	6	100.00	0-499
26460348	2	200.00	0-499
26471979	7	500.00	500-999
26497119	6	100.00	0-499
26802659	4	100.00	0-499
26826412	2	300.00	0-499
26941509	2	300.00	0-499
27210152	4	100.00	0-499
27438145	2	5000.00	1000+
27569858	3	300.00	0-499
28510631	3	1000.00	1000+
28720777	2	1000.00	1000+
28772448	9	500.00	500-999
28789728	2	120.00	0-499
28824921	4	100.00	0-499
28997092	2	100.00	0-499
29845021	2	5000.00	1000+
29937341	7	500.00	500-999
30140589	2	300.00	0-499
30277890	2	300.00	0-499
30354861	4	500.00	500-999
30447655	3	300.00	0-499
31243103	2	200.00	0-499
31662393	3	1000.00	1000+
31997760	7	10000.00	1000+
32139920	2	200.00	0-499
32164683	2	100.00	0-499
32329922	4	100.00	0-499
32389935	2	100.00	0-499
32502481	2	500.00	500-999
32785805	2	100.00	0-499
33022321	2	100.00	0-499
33338131	2	300.00	0-499
33897804	4	100.00	0-499
34146244	5	100.00	0-499
34307978	7	100.00	0-499
34326966	3	200.00	0-499
34543410	2	100.00	0-499
34607399	2	10000.00	1000+
34610256	3	100.00	0-499
35439715	2	100.00	0-499
35532164	3	500.00	500-999
36319130	2	200.00	0-499
36541197	2	300.00	0-499
36551543	4	3000.00	1000+
36554296	3	3000.00	1000+
36675906	2	3000.00	1000+
36712944	5	200.00	0-499
37349128	3	50000.00	1000+
37361349	2	200.00	0-499
37801044	4	200.00	0-499
37966464	2	500.00	500-999
38080335	4	100.00	0-499
38363673	3	100.00	0-499
38380826	3	1000.00	1000+
38508927	9	10000.00	1000+
38636342	2	300.00	0-499
38842084	3	101.00	0-499
39246875	2	200.00	0-499
39715272	2	100.00	0-499
40530556	3	100.00	0-499
40600787	2	300.00	0-499
41115474	3	200.00	0-499
41317485	2	1000.00	1000+
41339245	3	1000.00	1000+
41742240	2	100.00	0-499
42013765	4	2000.00	1000+
42062959	5	200.00	0-499
42189615	11	600.00	500-999
42509783	2	5000.00	1000+
42770225	7	120.00	0-499
42849098	2	500.00	500-999
43024999	6	200.00	0-499
43312180	4	100.00	0-499
43338308	5	200.00	0-499
43772231	2	500.00	500-999
44079116	16	100.00	0-499
44192509	3	200.00	0-499
44246788	6	100.00	0-499
44529073	2	500.00	500-999
44984118	4	100.00	0-499
45085166	2	200.00	0-499
45164517	2	200.00	0-499
45211598	26	500.00	500-999
45475392	2	3000.00	1000+
45497653	4	2000.00	1000+
46698521	2	300.00	0-499
46777125	2	100.00	0-499
46847888	2	100.00	0-499
47380464	2	3000.00	1000+
47685661	4	200.00	0-499
48069879	16	50000.00	1000+
48086301	2	100.00	0-499
48716503	2	500.00	500-999
49417717	2	1000.00	1000+
49791251	2	500.00	500-999
